Year,Investor or Builder,Sector,Country,Amount
2025, China Communications Construction,Transport,Cambodia,570
2025,Guangdong Industrial Investment,Transport,Cambodia,240
2024,Weifang Shunfuchang,Transport,Cambodia,190
2024,Hongdou,Transport,Cambodia,200
2024,Sailun Tire,Transport,Cambodia,100
2023, China Communications Construction,Transport,Cambodia,1310
2023,Qingdao Doublestar,Transport,Cambodia,170
2022, China National Machinery Industry (Sinomach),Energy,Cambodia,390
2022,Kunming Iron,Transport,Cambodia,330
2022,Hongdou Group,Transport,Cambodia,300
2021,Sailun Tire,Transport,Cambodia,220
2020,Sinosteel,Energy,Cambodia,670
2020, Huadian,Energy,Cambodia,1190
2019,Shenzhou International,Other,Cambodia,150
2019,Yuetai,Real estate,Cambodia,110
2019, China Communications Construction,Transport,Cambodia,2080
2018,Kunming Iron,Transport,Cambodia,500
2017,China Youth Travel Services,Real estate,Cambodia,250
2016,Anhui Conch,Real estate,Cambodia,120
2016,Guangdong Heng Fu,Agriculture,Cambodia,360
2013, Huaneng Power,Energy,Cambodia,410
2025,"Zhejiang FreeNow, China National Building Material",Agriculture,Indonesia,100
2025,Infore Group,Other,Indonesia,160
2025,"Contemporary Amperex Tech, Zhejiang Lygend",Energy,Indonesia,850
2025, Tencent,Technology,Indonesia,100
2025,GEM,Metals,Indonesia,720
2025,Eastroc,Agriculture,Indonesia,150
2025, Tsingshan,Energy,Indonesia,140
2025,BYD,Transport,Indonesia,760
2024,Sailun Tire,Transport,Indonesia,250
2024,Baoan (BTR),Transport,Indonesia,260
2024,Zhejiang Energy,Energy,Indonesia,200
2024,Flat Glass Group,Energy,Indonesia,280
2024, Zhejiang Huayou Cobalt,Transport,Indonesia,2040
2024,Nanshan Group,Metals,Indonesia,840
2023,Bytedance,Other,Indonesia,840
2023,Contemporary Amperex Tech,Metals,Indonesia,470
2023,GEM,Metals,Indonesia,270
2023,Sany Heavy Industry,Other,Indonesia,150
2023, Zhejiang Huayou Cobalt,Metals,Indonesia,200
2023, State Grid,Technology,Indonesia,130
2023,Hailiang,Metals,Indonesia,860
2023,"GEM, Zhejiang Weiming",Metals,Indonesia,350
2023,Jiangsu Lopal,Chemicals,Indonesia,290
2023,Baoan (BTR),Chemicals,Indonesia,290
2023,"Shandong Xinhai, BaoWu Steel (Baosteel)",Metals,Indonesia,1260
2022, Alibaba,Other,Indonesia,300
2022, State Administration of Foreign Exchange (SAFE),Finance,Indonesia,2950
2022, Alibaba,Technology,Indonesia,100
2022,Hunan Zhongwei,Transport,Indonesia,290
2022,"Chengtun Mining, Tsingshan",Metals,Indonesia,230
2022,Zhejiang Weiming,Metals,Indonesia,270
2021,Chengtun Mining,Metals,Indonesia,250
2021,"Primavera Capital, Tencent",Other,Indonesia,100
2021,Nanjing Iron-led consortium,Metals,Indonesia,440
2021,"Tsingshan, Shanghai Huafon",Metals,Indonesia,140
2021,China Risun-led consortium,Metals,Indonesia,220
2021, Tsingshan,Energy,Indonesia,160
2021,Qinfa,Energy,Indonesia,210
2021,"Boyu Capital, Hillhouse Capital",Logistics,Indonesia,1300
2021,Hanking,Metals,Indonesia,200
2020,Datang,Energy,Indonesia,390
2020,Zhejiang Lygend,Metals,Indonesia,600
2020,Yili Industrial,Agriculture,Indonesia,140
2020,State Development and Investment Corp.,Energy,Indonesia,300
2020,Xiamen Xiangyu,Metals,Indonesia,1040
2019,"Zhejiang Huayou Cobalt, China Molybdenum, Tsingshan",Metals,Indonesia,1240
2019,Nanshan Group,Metals,Indonesia,450
2019, China Communications Construction,Transport,Indonesia,1650
2019,GEM-led consortium,Metals,Indonesia,860
2019,Chengtun Mining,Metals,Indonesia,150
2019,Jiangsu Lianfa,Other,Indonesia,100
2019,Jiangsu Delong,Metals,Indonesia,1620
2019,"Tencent, JD.Com",Transport,Indonesia,340
2018,Nanshan Group,Metals,Indonesia,390
2018,Hongshi,Real estate,Indonesia,300
2018,China Jinjiang Environment,Energy,Indonesia,110
2018,Zhefu Holdings,Energy,Indonesia,850
2018, China Railway Engineering,Transport,Indonesia,2940
2018, Tsingshan,Metals,Indonesia,400
2017,JD.com,Transport,Indonesia,100
2017, Alibaba,Other,Indonesia,500
2017, Tencent,Transport,Indonesia,150
2017, China Nonferrous,Metals,Indonesia,200
2017, China Communications Construction,Real estate,Indonesia,110
2017,China Fortune,Real estate,Indonesia,300
2017, China National Off-shore Oil (CNOOC),Energy,Indonesia,1040
2016, Tsingshan,Metals,Indonesia,490
2016,Shenhua,Energy,Indonesia,570
2016, Power Construction Corp. (PowerChina),Energy,Indonesia,250
2016,Qianhai Zone Authority,Transport,Indonesia,200
2016,State Development and Investment Corp.,Energy,Indonesia,120
2016,Zhejiang Kaishan,Energy,Indonesia,790
2015,Shenhua,Energy,Indonesia,1320
2015, Tsingshan,Metals,Indonesia,510
2015, Huadian,Energy,Indonesia,870
2015, China Communications Construction,Real estate,Indonesia,100
2015,"SAIC Motor (Shanghai Auto), Wuling",Transport,Indonesia,390
2014,Shandong Weiqiao,Metals,Indonesia,840
2014, China Investment Corporation (CIC),Energy,Indonesia,1430
