platform,text,user_id,total_interactions_count,statistics,username,statuses_count,followers_count,friends_count,favourites_count,media_count,user_created_at,user_description,conversation_id_str,created_at,profile_url,post_url,location,sentiment,sentiment_target,sentiment_reason,emotion,country,country_reason,country_code,country_geo,account_type,account_type_reason,media_url
twitter,"Hari ini saya menerima kunjungan hormat Naib Presiden China, TYT Han Zheng yang sedang dalam rangka lawatan kerja empat hari ke negara bersempena ulang tahun ke-10 Perkongsian Strategik Komprehensif Malaysia-China pada tahun ini.

Pertemuan dimulakan dengan mesyuarat yang membincangkan hubungan dua hala, pembangunan luar bandar, pendidikan TVET yang akan dikelolakan oleh Majlis Amanah Rakyat (MARA), Inisiatif Jalur dan Laluan (BRI) dan kerjasama industri halal. 

Sesungguhnya Malaysia komited memastikan momentum kemajuan negara seiring dengan pertumbuhan dan perlu disusuli dengan strategi menang-menang demi prinsip kebersamaan dan kemajuan bersama bagi kedua-dua negara.

China adalah rakan dagang Malaysia terbesar sejak 2009 dengan nilai perdagangan antara kedua-dua negara tahun lalu sudah mencecah 17.1 peratus daripada jumlah perdagangan global Malaysia yang bernilai RM2.8 trilion. 

Manakala nilai pelaburan daripada China bernilai RM9.6 billion (AS$2.2 billion) yang sudah membuka peluang pekerjaan kepada lebih 6,000 orang tahun lalu.
 
Pertemuan pada hari ini turut disertai Ouyang Yujing - Duta Besar China ke Malaysia, Li Chunlin-Timbalan Pengerusi Suruhanjaya Pembangunan Dan Pembaharuan Negara dan Li Fei-Timbalan Menteri Peragangan China, Nong Rong-Timbalan Menteri Luar China.

Saya turut bersama Timbalan Menteri Luar; Datuk Mohamad bin Alamin serta Timbalan Menteri Pelaburan, Perdagangan dan Industri; Tuan Liew Chin Tong.

#MalaysiaChina",115603899,122,"{'quote_count': 0, 'retweet_count': 14, 'like_count': 103, 'reply_count': 5, 'view_count': '3416'}",DrZahidHamidi,17680,494354,7821,1080,8979,Fri Feb 19 07:18:48 +0000 2010,"Timbalan Perdana Menteri, Menteri Kemajuan Desa & Wilayah, Presiden UMNO, Pengerusi Barisan Nasional & Ahli Parlimen Bagan Datuk.",1722621088872763753,2023-11-09 14:24:06,https://pbs.twimg.com/profile_images/1884082333663571968/Fs2uZ9xe_normal.jpg,https://twitter.com/DrZahidHamidi/status/1722621088872763753,Malaysia,positive,China,"The post explicitly mentions China and highlights a respectful official visit by the Chinese Vice President, discussing bilateral relations and cooperation under the Belt and Road Initiative (BRI). The tone is formal and positive, emphasizing commitment and partnership.",happiness,Malaysia,"The user explicitly states Malaysian political titles and locations, indicating Malaysia.",my,"[2.5, 112.5]",Individual,The account belongs to a named political figure with official titles and roles.,https://pbs.twimg.com/media/F-f6hOyboAA83SY.jpg
twitter,"Bagi menterjemahkan cita-cita tinggi kepada realiti praktikal, perpaduan dan kerjasama adalah contoh terbaik dalam merealisasikan Inisiatif Jalur dan Laluan.",1839871,90,"{'quote_count': 0, 'retweet_count': 14, 'like_count': 74, 'reply_count': 2, 'view_count': '13552'}",anwaribrahim,92664,1869445,12044,12213,13864,Thu Mar 22 05:28:29 +0000 2007,Perdana Menteri Malaysia 🇲🇾,1641322675699335168,2023-03-30 06:13:16,https://pbs.twimg.com/profile_images/1877362953596579840/mGNtrUJS_normal.jpg,https://twitter.com/anwaribrahim/status/1641322681235800066,Malaysia,positive,China,"China is implied through the mention of the Belt and Road Initiative (BRI), a China-led project. The post promotes unity and cooperation to realize the initiative's goals, reflecting a positive and supportive sentiment towards China.",happiness,Malaysia,The mention of being the Prime Minister of Malaysia suggests a user from Malaysia.,my,"[2.5, 112.5]",Individual,The username and description suggest a personal account related to Malaysian politics.,
twitter,"Rangkuman Kunjungan hormat Naib Presiden China, TYT Han Zheng yang sedang dalam rangka lawatan kerja empat hari ke negara bersempena ulang tahun ke-10 Perkongsian Strategik Komprehensif Malaysia-China.

Pertemuan ini telah membincangkan hubungan dua hala, pembangunan luar bandar, pendidikan TVET yang akan dikelolakan oleh Majlis Amanah Rakyat (MARA), Inisiatif Jalur dan Laluan (BRI) dan kerjasama industri halal.

#MalaysiaChina",115603899,66,"{'quote_count': 1, 'retweet_count': 8, 'like_count': 55, 'reply_count': 2, 'view_count': '2273'}",DrZahidHamidi,17680,494354,7821,1080,8979,Fri Feb 19 07:18:48 +0000 2010,"Timbalan Perdana Menteri, Menteri Kemajuan Desa & Wilayah, Presiden UMNO, Pengerusi Barisan Nasional & Ahli Parlimen Bagan Datuk.",1722968044912464263,2023-11-10 13:22:47,https://pbs.twimg.com/profile_images/1884082333663571968/Fs2uZ9xe_normal.jpg,https://twitter.com/DrZahidHamidi/status/1722968044912464263,Malaysia,positive,China,"This post mentions China directly, describing a visit by the Chinese Vice President and discussions on bilateral cooperation including BRI. The tone is respectful and highlights strong partnership, indicating positive sentiment.",happiness,Malaysia,"The user explicitly states Malaysian political titles and locations, indicating Malaysia.",my,"[2.5, 112.5]",Individual,The account belongs to a named political figure with official titles and roles.,https://pbs.twimg.com/amplify_video_thumb/1722967852511354880/img/EwihbVVS7Dz5ZF4f.jpg
twitter,"Perbincangan hari ini juga bersetuju untuk meningkatkan kerjasama di bawah Inisiatif Jalur dan Laluan (BRI) seperti projek berkembar melibatkan kedua-dua negara,",1839871,68,"{'quote_count': 1, 'retweet_count': 13, 'like_count': 53, 'reply_count': 1, 'view_count': '6489'}",anwaribrahim,92664,1869445,12044,12213,13864,Thu Mar 22 05:28:29 +0000 2007,Perdana Menteri Malaysia 🇲🇾,1659578539195400193,2023-05-19 15:15:35,https://pbs.twimg.com/profile_images/1877362953596579840/mGNtrUJS_normal.jpg,https://twitter.com/anwaribrahim/status/1659578556429774848,Malaysia,positive,China,"China is referenced via the BRI, with the post emphasizing agreement to enhance cooperation under this initiative. The tone is cooperative and optimistic, showing positive sentiment towards China.",happiness,Malaysia,The mention of being the Prime Minister of Malaysia suggests a user from Malaysia.,my,"[2.5, 112.5]",Individual,The username and description suggest a personal account related to Malaysian politics.,
twitter,"Penglibatan dalam Inisiatif Jalur dan Laluan (BRI) perkukuh perkongsian ekonomi Malaysia-China.

YB Senator Tengku Datuk Seri Utama Zafrul Tengku Abdul Aziz
Menteri Pelaburan, Perdagangan dan Industri 

#KementerianKomunikasi #MalaysiaMADANI #JiwaMerdeka https://t.co/irqpFySReh",274818125,29,"{'quote_count': 0, 'retweet_count': 14, 'like_count': 15, 'reply_count': 0, 'view_count': '418'}",komunikasi_gov,40992,269441,357,4659,12537,Thu Mar 31 02:39:34 +0000 2011,Media Sosial Rasmi Kementerian Komunikasi,1813120345114878089,2024-07-16 07:55:51,https://pbs.twimg.com/profile_images/1735223167944392705/_8GQQZM__normal.jpg,https://twitter.com/komunikasi_gov/status/1813120345114878089,"Presint 4, Putrajaya",positive,China,"The post mentions Malaysia-China economic partnership through the BRI, quoting a Malaysian minister. The tone is official and positive, highlighting strengthened economic ties with China.",happiness,Malaysia,"""Presint 4, Putrajaya"" is a federal administrative area in Malaysia, and the description is in Malay referencing a Malaysian ministry.",my,"[2.5, 112.5]",Organization,The account is the official social media of a government ministry.,https://pbs.twimg.com/media/GSl_Vy5bIAMFnL4.jpg
twitter,"Kementerian Pelaburan, Perdagangan dan Industri (MITI) Malaysia telah menandatangani Rancangan Kerjasama Inisiatif Jalur dan Laluan (BRI) bersama Republik Rakyat China. Pelan ini bertujuan untuk meningkatkan pembangunan dan kerjasama berkualiti tinggi antara Malaysia dan China melalui penyelarasan dasar, keterhubungan fasiliti, kerjasama perdagangan dan integrasi kewangan. Selain itu, pelan ini memperkukuh hubungan dalam sektor-sektor seperti pendidikan, sains dan teknologi, kesihatan, budaya, pelancongan, sukan dan media.

Bagi pihak Malaysia, YB Senator Tengku Datuk Seri Utama Zafrul Tengku Abdul Aziz, Menteri Pelaburan, Perdagangan dan Industri, telah menandatangani perjanjian ini. Manakala bagi pihak China, ia ditandatangani oleh Liu Sushe, Naib Pengerusi Suruhanjaya Pembangunan dan Pembaharuan Kebangsaan China.

#Malaysia #China #MITI #PemacuPotensiGlobal #TZA

Kredit: SADIQ ASYRAF/ PMO",1241726234553241601,13,"{'quote_count': 0, 'retweet_count': 2, 'like_count': 11, 'reply_count': 0, 'view_count': '930'}",tzafrul_aziz,7071,147302,94,1029,5437,Sun Mar 22 13:59:46 +0000 2020,Chairman MIDA 🇲🇾 & President of @BA_Malaysia 🏸,1853810477622854079,2024-11-05 14:43:54,https://pbs.twimg.com/profile_images/1958780457828634624/Sl3H39hV_normal.jpg,https://twitter.com/tzafrul_aziz/status/1853810477622854079,Kuala Lumpur,positive,China,"China is explicitly mentioned as a partner in a signed cooperation plan under the BRI. The post highlights goals of high-quality development and multi-sector collaboration, reflecting a positive and constructive sentiment.",happiness,Malaysia,"The location mentioned is Kuala Lumpur, which is the capital of Malaysia, and the user is the Minister of Investment, Trade & Industry in Malaysia.",my,"[2.5, 112.5]",Individual,"The username and description indicate a personal account of the Minister of Investment, Trade & Industry Malaysia.",https://pbs.twimg.com/media/GboOzDHakAEGt5L.jpg
twitter,"Perdana Menteri, Datuk Seri Anwar Ibrahim akan melakukan lawatan kerja ke China dari 4 hingga 7 November 2024, atas jemputan daripada rakan sejawatnya Li Qiang untuk menghadiri Ekspo Import Antarabangsa China ketujuh (CIIE ke-7) di Shanghai.

Menurut kenyataan Kementerian Luar Negeri pada Ahad (3 November), Malaysia diberi penghormatan sebagai 'Country of Honour' di CIIE ketujuh pada tahun ini.

“Semasa di Shanghai, Perdana Menteri dijadual mengadakan pertemuan dua hala bersama Li Qiang bagi berbincang hubungan dua hala susulan perjumpaan mereka di Putrajaya pada 19 Jun 2024 serta bertukar pandangan mengenai isu serantau dan antarabangsa yang berkepentingan bersama,” kata Wisma Putra dalam kenyataan tersebut.

CIIE adalah inisiatif oleh Kerajaan China untuk menyediakan platform kepada negara-negara yang terlibat dalam Inisiatif Jalur dan Laluan (BRI) untuk mempromosikan dan mengeksport produk dan perkhidmatan ke negara tersebut.

Anwar juga dijadualkan melawat Beijing selama dua hari bermula 6 November dan  membuat kunjungan hormat kepada Presiden Xi Jinping.

Beliau juga akan menyampaikan ceramah bertajuk “Bridging Futures: Strengthening Malaysia-China Relations and ASEAN Centrality in a Shifting Global Order” di Universiti Peking, dan melawat Pusat Taklimat Eksekutif Huawei.

Anwar akan diiringi oleh Menteri Luar Datuk Seri Mohamad Hasan, Menteri Pelaburan, Perdagangan dan Industri, Tengku Datuk Seri Zafrul Abdul Aziz serta Menteri Sumber Manusia, Steven Sim Chee Keong.

#BeritaKS",1623155947949658113,13,"{'quote_count': 1, 'retweet_count': 2, 'like_count': 10, 'reply_count': 0, 'view_count': '1013'}",keluarsekejap,3052,18651,5,88,2859,Wed Feb 08 03:05:29 +0000 2023,Podcast Keluar Sekejap (KS) bersama Khairy Jamaluddin (KJ) dan Shahril Hamdan . Merapatkan jurang dalam perbincangan isu politik dan semasa.,1852959830933483906,2024-11-03 06:23:44,https://pbs.twimg.com/profile_images/1630450395985379328/T_ObwnDD_normal.jpg,https://twitter.com/keluarsekejap/status/1852959830933483906,Malaysia,positive,China,"China is directly mentioned as the host of an international expo and the invitation extended to Malaysia's Prime Minister. The post conveys honor and respect, showing positive sentiment towards China and its international role.",happiness,Malaysia,"The username and description mention Malaysian political figures Khairy Jamaluddin and Shahril Hamdan, indicating Malaysia.",my,"[2.5, 112.5]",Media,The account promotes a podcast featuring public figures discussing political and current issues.,https://pbs.twimg.com/media/GbcJJFjbEAA38WD.jpg
twitter,"Malaysia komited pastikan projek infrastruktur di bawah Inisiatif Jalur dan Laluan (BRI) beri faedah optimum.

YB Anthony Loke
Menteri Pengangkutan

#KKD #MalaysiaMADANI https://t.co/IsdZR7gkQ3",274818125,16,"{'quote_count': 0, 'retweet_count': 6, 'like_count': 10, 'reply_count': 0, 'view_count': '847'}",komunikasi_gov,40992,269441,357,4659,12537,Thu Mar 31 02:39:34 +0000 2011,Media Sosial Rasmi Kementerian Komunikasi,1714950910529642935,2023-10-19 10:25:33,https://pbs.twimg.com/profile_images/1735223167944392705/_8GQQZM__normal.jpg,https://twitter.com/komunikasi_gov/status/1714950910529642935,"Presint 4, Putrajaya",positive,China,"China is implied through the BRI infrastructure projects. The post stresses Malaysia's commitment to maximizing benefits from these projects, reflecting a positive and pragmatic sentiment towards China.",happiness,Malaysia,"""Presint 4, Putrajaya"" is a federal administrative area in Malaysia, and the description is in Malay referencing a Malaysian ministry.",my,"[2.5, 112.5]",Organization,The account is the official social media of a government ministry.,https://pbs.twimg.com/media/F8y6wrQaEAAvkul.jpg
twitter,"Inisiatif Jalur dan Laluan (BRI) yang diketengahkan Presiden China Xi  Jinping hadir tepat pada masanya dan telah mencapai kemajuan positif,  kata Presiden Rusia Vladimir Putin.

#AWANInews 
#AWANI745 

https://t.co/s8diXDiU7E",497665754,12,"{'quote_count': 0, 'retweet_count': 1, 'like_count': 8, 'reply_count': 3, 'view_count': '12912'}",501Awani,619849,3832821,361,1588,196084,Mon Feb 20 07:13:13 +0000 2012,Jenama berita paling dipercayai di Malaysia.  Astro AWANI Network Sdn. Bhd. 200001032668(535275-D),1716374492602126801,2023-10-23 08:42:22,https://pbs.twimg.com/profile_images/2035151392634195968/NlH8gTbv_normal.jpg,https://twitter.com/501Awani/status/1716374492602126801,Malaysia,positive,China,"China is mentioned explicitly with a quote from Russia's president praising China's BRI initiative. The tone is positive and supportive, reflecting international approval of China's role.",happiness,Malaysia,"The user is located in Malaysia and is part of a trusted news brand in the country, indicating a Malaysian origin.",my,"[2.5, 112.5]",Organization,The username and description suggest that this account belongs to a news organization in Malaysia.,
twitter,"Presiden Xi Jinping berkata China akan memberi penekanan kepada lapan  aspek utama untuk menggalakkan pembangunan bersama Inisiatif Jalur dan  Laluan (BRI) yang berkualiti tinggi.

#AWANInews 
#AWANI745 

https://t.co/u7ceFuwL38",497665754,9,"{'quote_count': 0, 'retweet_count': 1, 'like_count': 8, 'reply_count': 0, 'view_count': '10290'}",501Awani,619849,3832821,361,1588,196084,Mon Feb 20 07:13:13 +0000 2012,Jenama berita paling dipercayai di Malaysia.  Astro AWANI Network Sdn. Bhd. 200001032668(535275-D),1714575197607780411,2023-10-18 09:32:37,https://pbs.twimg.com/profile_images/2035151392634195968/NlH8gTbv_normal.jpg,https://twitter.com/501Awani/status/1714575197607780411,Malaysia,neutral,China,"China is directly referenced through President Xi Jinping's statements on BRI development priorities. The post is neutral-positive, focusing on China's strategic plans without criticism.",neutral,Malaysia,"The user is located in Malaysia and is part of a trusted news brand in the country, indicating a Malaysian origin.",my,"[2.5, 112.5]",Organization,The username and description suggest that this account belongs to a news organization in Malaysia.,
