platform,text,user_id,total_interactions_count,statistics,username,statuses_count,followers_count,friends_count,favourites_count,media_count,user_created_at,user_description,conversation_id_str,created_at,profile_url,post_url,location,sentiment,sentiment_target,sentiment_reason,emotion,country,country_reason,country_code,country_geo,account_type,account_type_reason,media_url
twitter,"රටෙ ප්‍රමුඛතා තෙරුම් ගෙන, එදා ඩොලර් මිලියන/බිලියන ගණන් වියදම් කරලා මත්තල ගුවන්තොටුපොළ, හම්බන්තොට වරාය, නෙලූම් කුලුන වැනි සුදු අලි හදන්න කලින් පුනර්ජනනීය බලශක්තිය කෙරෙහි අයොජනය කරානම් අද මෙ ප්‍රශ්න නැ. එහෙනම් රටෙ සේවා හා නිෂ්පාදන ක්‍රියාවලියට අද වගෙ බාධා නෑ.",1061142887553884160,128,"{'quote_count': 1, 'retweet_count': 15, 'like_count': 100, 'reply_count': 12, 'view_count': 0}",Toddy_Lad,19748,2264,1211,93271,2107,Sat Nov 10 06:25:54 +0000 2018,"🅻🅾🆅🅴 🅶🅸🅽 & 🆃🅾🅽🅸🅲 සාමාන්‍යය මනුස්සයෙක්,❤️ ජොලියෙන්, සැහැල්ලුවෙන්, වෛරයෙන් තොරව ගෙවන්න ඔන මේ ජිවිතෙ. පොඩ්ඩක් දෙශපාලකයන්ට බයින්නත් ඕනා 😉",1498652737604575236,2022-03-01 13:33:50,https://pbs.twimg.com/profile_images/1080014735620345856/Wo-TOmT1_normal.jpg,https://twitter.com/Toddy_Lad/status/1498652737604575236,Sri Lanka,negative,China,"The post refers indirectly to Chinese-funded infrastructure projects like Hambantota port and Mattala airport, criticizing the prioritization of such projects over renewable energy. This reflects a negative sentiment towards China’s role in Sri Lanka’s development, implying mismanagement linked to Chinese investments.",anger,Sri Lanka,"The user description includes references to Sri Lankan culture, indicating the likely country of origin.",lk,"[7.0, 81.0]",Individual,The personal description and location details indicate an individual account.,
twitter,"නොරොච්චෝලේ හදන කාලේ පත්තරවල ගියේ ඒක කලොත් 50%කින් බිල අඩුවෙනවා කියලා. බිල අඩු විම කෙස් වෙතත් ඒක එක දිගට අවුරැද්දක් වැඩ කරල නැ මගේ හිතේ.

ලෝකයේ ප්‍රදානම නැව් ගමන් මගකට ලගය ඒ යන නැව් වලට සේවා සපයලා අපිට ගොඩයන්න පුලුවන්ය කියලා තමයි හම්බන්තොට වරාය හැදුවේ.

1/2👇",1072765984468021248,91,"{'quote_count': 0, 'retweet_count': 5, 'like_count': 82, 'reply_count': 4, 'view_count': '3739'}",iamharshana1,20496,3032,949,32313,863,Wed Dec 12 08:11:56 +0000 2018,Husband & Father 👨‍👩‍👧‍👦,1679587184855097345,2023-07-13 20:22:44,https://pbs.twimg.com/profile_images/1808926103987441666/KSSjz02e_normal.jpg,https://twitter.com/iamharshana1/status/1679587184855097345,Al Khobar,neutral,China,"The post mentions Hambantota port, which is widely known to be linked to China, but does not explicitly mention China. The tone is neutral, focusing on the strategic importance of the port. Sentiment towards China is neutral as China is only implied.",neutral,Saudi Arabia,"Al Khobar is a city in Saudi Arabia, indicating the user is likely from there.",sa,"[25.0, 45.0]",Individual,"Describes himself as Husband & Father, indicating a personal account.",
twitter,ටීවි එකට ඇවිල්ල රාජපක්ෂ ල බුදුන්ගෙ නෑයො කියනකොට.. හම්බන්තොට වරාය විවෘත කරන්න නැටුම් නටනකොට.. ජැකා ලට මාර තැනක් මේ රටේ තිබ්බේ.. කමක් නෑ.. එළොව ගියේ නැතත් ඇටයක් තැලිල ඉන්න ගමන් හරි fb ලොග් වුනාම ඌ දැන් බුවාට රටේ තියෙන තත්වෙ ඇස්දෙකෙන් දැකගනී..,150624162,83,"{'quote_count': 1, 'retweet_count': 2, 'like_count': 78, 'reply_count': 2, 'view_count': 0}",indika27,148688,22420,7280,315853,10865,Tue Jun 01 11:55:21 +0000 2010,i am sri lankan unp boy.,1543463967984877568,2022-07-03 05:17:40,https://pbs.twimg.com/profile_images/1287571397884035072/rZt-QMuW_normal.jpg,https://twitter.com/indika27/status/1543463967984877568,colombo sri lanka,neutral,China,The post references Hambantota port and political figures but does not explicitly mention China. The tone is somewhat sarcastic and critical of the situation around the port. Sentiment towards China is neutral to negative by implication but not explicit.,disgust,Sri Lanka,"The user is located in Colombo, Sri Lanka, indicating their likely country of origin.",lk,"[7.0, 81.0]",Individual,"Self-identifies as a Sri Lankan UNP boy, suggesting a personal profile.",
twitter,"ඔබ දන්නවාද?
➡️  හම්බන්තොට වරාය ඉදිකිරීමට-රු. බිලියන 212යි
➡️ මත්තල ගුවන්තොට ඉදිකරන්න -රුපියල් බිලියන 25යි
➡️  දක්ෂිණ අධිවේගයට- රුපියල් බිලියන 83යි.

ඒ කියන්නේ 2010-15, ව්‍යාපෘති 3 ගියේ බිලියන 320යි!!

හැබැයි සුළුතරයේ ජනාධිපති සති-2ට රුපියල් බිලියන 540 ණය ගන්නවා.🤔

#මංජුල_වීරසිරි https://t.co/UMgdUE6G0R",1665306768577028097,98,"{'quote_count': 3, 'retweet_count': 14, 'like_count': 75, 'reply_count': 6, 'view_count': '4360'}",ralahamy,951,325,510,3328,446,Sun Jun 04 10:38:01 +0000 2023,,1846233586434752766,2024-10-15 16:56:03,https://pbs.twimg.com/profile_images/1665806501926039556/W-Lp02Xw_normal.jpg,https://twitter.com/ralahamy/status/1846233586434752766,Sri Lanka,neutral,China,The post lists costs of major infrastructure projects including Hambantota port but does not explicitly mention China. The tone is critical of government spending. Sentiment towards China is neutral as China is not directly mentioned.,anger,Sri Lanka,"The username ""ralahamy"" and the lack of explicit location suggest an account from Sri Lanka.",lk,"[7.0, 81.0]",Individual,"The account has a personal username, indicating an individual account.",https://pbs.twimg.com/media/GZ8jqbdWgAAiO8S.jpg
twitter,චීනය ඉඩම් හා සම්පත් උදුරා ගන්නා රටකි. චීනයේ ණය උගුල් ප්‍රතිපත්තියේ ගොදුරු බවට දැනට ලෝකයේ බොහෝ රටවල් තිබේ.ශ්‍රී ලංකාව චීනයේ ණය උගුලකට හසුවීමෙන් පසු තමන්ගේම හම්බන්තොට වරාය චීනයට පවරා දීමට ගොදුරක් බවට පත්ව ඇත. https://t.co/9JYKBhpUTR,1158972625521139712,66,"{'quote_count': 1, 'retweet_count': 11, 'like_count': 50, 'reply_count': 4, 'view_count': 0}",CatherineLka,6964,4372,3412,7742,1171,Wed Aug 07 05:26:21 +0000 2019,"Planting Trees and Discovering the Truth !!
ජීවිතය දිගු නොවිය යුතුය, එය විශාල විය යුතුය.

(https://t.co/Rhf8KI6hNt)",1464510806708547591,2021-11-27 08:26:00,https://pbs.twimg.com/profile_images/1948042124764880896/QYljmZul_normal.jpg,https://twitter.com/CatherineLka/status/1464510806708547591,"kandy,Sri lanka",negative,China,"The post explicitly mentions China as a country that acquires land and resources and criticizes Sri Lanka’s debt trap leading to handing over Hambantota port to China. The sentiment is clearly negative, expressing concern and distrust towards China’s economic influence.",fear,Sri Lanka,"Location in Kandy, Sri Lanka.",lk,"[7.0, 81.0]",Individual,The user description includes personal interests and activities.,https://pbs.twimg.com/media/FFGzDwBVcAA_uwQ.jpg
twitter,"හම්බන්තොට වරාය විකුණුවේ නැත්තන් එකත් වහයි. හැබයි ඉතින් වහන්න හරි රටක් ඉතුරුවුන එක කොච්චර ලොකු දෙයක් ද නේද frens? 
#LKA #SriLanka #ජයගමු   #කන්නනැතත්ඉන්නරටක්තියෙනවානේ",251958790,48,"{'quote_count': 0, 'retweet_count': 5, 'like_count': 40, 'reply_count': 3, 'view_count': 0}",munza14,54379,74329,496,91051,4486,Mon Feb 14 05:24:58 +0000 2011,"◾ Contributing Writer @NikkeiAsia 
                              ◾ Byline in @LATimes | @AJEnglish | @TRTWorld |◾@DW_GMF Fellow 21'",1531996409712369666,2022-06-01 13:49:41,https://pbs.twimg.com/profile_images/1941876453928304640/5U3ypsXX_normal.jpg,https://twitter.com/munza14/status/1531996409712369666,Based in Sri Lanka,neutral,China,"The post discusses the sale of Hambantota port and implies that without selling it, the port would have closed. The tone is pragmatic but somewhat resigned. China is implied as the buyer but not explicitly mentioned. Sentiment is neutral to slightly negative.",neutral,Sri Lanka,The user description mentions being based in Sri Lanka and working as a journalist in the country.,lk,"[7.0, 81.0]",Media,"The user description mentions being a journalist and contributing writer, indicating a media account.",
twitter,"අප්පා හැදුවා නෙලුමක් - නෙලුමේ ටීවි සන්නිවේදන අටවලා සංචාරකයෝ ඒක බලන්න ඇවිත් රට දියුනු වෙන හැටි ඒකාලේ මීඩියා වල ගියා. 
හම්බන්තොට වරාය - මූදේ දවසකට යන නැව් හාරසියක් කන්න බොන්න රෙන්න තේ වතුර බොන්න හම්බන්තොට එනවා කියලා හෙනම ගල් කෙප්ප කෙලියා.",150624162,33,"{'quote_count': 0, 'retweet_count': 1, 'like_count': 31, 'reply_count': 1, 'view_count': 0}",indika27,148688,22420,7280,315853,10865,Tue Jun 01 11:55:21 +0000 2010,i am sri lankan unp boy.,1584525193392709632,2022-10-24 12:40:20,https://pbs.twimg.com/profile_images/1287571397884035072/rZt-QMuW_normal.jpg,https://twitter.com/indika27/status/1584525196483928064,colombo sri lanka,neutral,China,The post talks about Hambantota port and local perceptions but does not mention China explicitly. The tone is somewhat humorous and critical of the port’s usage. Sentiment towards China is neutral as China is not mentioned.,disgust,Sri Lanka,"The user is located in Colombo, Sri Lanka, indicating their likely country of origin.",lk,"[7.0, 81.0]",Individual,"Self-identifies as a Sri Lankan UNP boy, suggesting a personal profile.",
twitter,"බැසිල් ඒ කාලේ කිව්වා නේද ..... 

එයාලගේ ආණ්ඩුවක් ආපු ගමන් හම්බන්තොට වරාය නැවතත් රජයට පවර ගන්නවා කියල 

😂😂

තවම උන්ගේ රජයක් නෙවෙයි වෙන්න ඇති !!

මම කියන්නේ ඒකනේ... බයියෝ අන්දන්න මහා ලොකු දේවල් කරන්න ඕනි නෑ...",154800409,36,"{'quote_count': 1, 'retweet_count': 4, 'like_count': 31, 'reply_count': 0, 'view_count': 0}",dilbolz,36863,2074,282,26808,628,Sat Jun 12 06:45:39 +0000 2010,There is no place like 127.0.0.1,1405730394050162689,2021-06-18 03:33:37,https://pbs.twimg.com/profile_images/1980704520310075393/TVCH4yCv_normal.jpg,https://twitter.com/dilbolz/status/1405730394050162689,Sri Lanka,neutral,China,The post mentions a political promise to return Hambantota port to the government but does not mention China explicitly. The tone is sarcastic and skeptical. Sentiment towards China is neutral as China is only implied.,surprise,Sri Lanka,Location explicitly stated as Sri Lanka.,lk,"[7.0, 81.0]",Individual,"The description is a personal tech joke, typical of an individual user.",
twitter,"""හම්බන්තොට වරාය  එහෙන් පිටින්ම චීනයට පවරපු, යහපාලනය  යැයි කියපු, ආණ්ඩුවේ සිටි එජාපයේ/ශ්‍රීලනිපයේ  අය මේ පිළිබඳව කියන දේවල්වල පදනමක් නැහැ. අපි වරායවල් විකුනන්නෙ හෝ බදු දෙන්නේ නැහැ. ආයෝජනය සඳහා රට තුළ අවස්ථා ඇති කිරීම උපාය මාර්ගයක් ලෙස පිළිගන්නවාat Devinuwara ⁦@PodujanaParty⁩ https://t.co/P94cjj88qC",48658572,40,"{'quote_count': 3, 'retweet_count': 1, 'like_count': 28, 'reply_count': 8, 'view_count': 0}",charith9,7694,17362,750,7519,2337,Fri Jun 19 09:18:55 +0000 2009,"Chair/Founder @NexusLK Fmr. MP @Parliament (20-24), Chair #COPE (20-22), Chair-Prof Philosophy (2019) @UPeradeniya, Sec/Min of Media (12-15),Chair/CEA (2010-13)",1355494356938084360,2021-01-30 12:33:33,https://pbs.twimg.com/profile_images/1860610713506435072/RXEL8uAP_normal.jpg,https://twitter.com/charith9/status/1355494356938084360,#Colombo #Kurunagala #SriLanka,neutral,China,"The post explicitly denies that Hambantota port was handed over to China, clarifying it was leased to a Chinese company. The tone is corrective and somewhat defensive. Sentiment towards China is neutral, clarifying facts without judgment.",neutral,Sri Lanka,Multiple Sri Lankan locations and political roles mentioned.,lk,"[7.0, 81.0]",Individual,Detailed personal and professional political and academic roles indicate a real person.,https://pbs.twimg.com/media/Es-u6XtWMAINFOT.jpg
twitter,"අද වන තෙක් ඉහල ලාභ ලබනවා කොළඹ වරාය.එහි බටහිර පර්යන්තය ණයක් ගෙන හො දියුණු නොකර ඉන්දියාවට දෙනවා. 

හැබැයි ඩොලර් බිලියන ගනන් ණය අරගෙන හම්බන්තොට වරාය හදනවා. 

මෙ පාපතර දෙශපාලුවන් ප්‍රමුඛතාව දේන්නෙ කොහොමද කියලා තේරෙනවා නේද? 🤦🏼‍♂️ලාභ ලබමින් සිටින කොළඹ වරායට ප්‍රමුඛතාව දෙන්න තිබ්බා නෙද?",1061142887553884160,35,"{'quote_count': 1, 'retweet_count': 4, 'like_count': 26, 'reply_count': 4, 'view_count': 0}",Toddy_Lad,19748,2264,1211,93271,2107,Sat Nov 10 06:25:54 +0000 2018,"🅻🅾🆅🅴 🅶🅸🅽 & 🆃🅾🅽🅸🅲 සාමාන්‍යය මනුස්සයෙක්,❤️ ජොලියෙන්, සැහැල්ලුවෙන්, වෛරයෙන් තොරව ගෙවන්න ඔන මේ ජිවිතෙ. පොඩ්ඩක් දෙශපාලකයන්ට බයින්නත් ඕනා 😉",1446362968082370563,2021-10-08 06:32:58,https://pbs.twimg.com/profile_images/1080014735620345856/Wo-TOmT1_normal.jpg,https://twitter.com/Toddy_Lad/status/1446362968082370563,Sri Lanka,negative,China,The post criticizes politicians for prioritizing Hambantota port development funded by large loans over the profitable Colombo port. China is implied as the financier but not explicitly mentioned. The sentiment is negative towards the Chinese-funded project.,anger,Sri Lanka,"The user description includes references to Sri Lankan culture, indicating the likely country of origin.",lk,"[7.0, 81.0]",Individual,The personal description and location details indicate an individual account.,
