year,indicator_code,indicator_name,value,country_name
2024,SP.DYN.CBRT.IN,birth_rate_crude,20.309,Cambodia
2023,SP.DYN.CBRT.IN,birth_rate_crude,20.752,Cambodia
2022,SP.DYN.CBRT.IN,birth_rate_crude,21.279,Cambodia
2021,SP.DYN.CBRT.IN,birth_rate_crude,21.905,Cambodia
2020,SP.DYN.CBRT.IN,birth_rate_crude,22.409,Cambodia
2019,SP.DYN.CBRT.IN,birth_rate_crude,22.988,Cambodia
2018,SP.DYN.CBRT.IN,birth_rate_crude,23.372,Cambodia
2017,SP.DYN.CBRT.IN,birth_rate_crude,23.655,Cambodia
2016,SP.DYN.CBRT.IN,birth_rate_crude,23.956,Cambodia
2015,SP.DYN.CBRT.IN,birth_rate_crude,24.218,Cambodia
2014,SP.DYN.CBRT.IN,birth_rate_crude,24.403,Cambodia
2013,SP.DYN.CBRT.IN,birth_rate_crude,24.56,Cambodia
2024,SP.DYN.CBRT.IN,birth_rate_crude,15.762,Indonesia
2023,SP.DYN.CBRT.IN,birth_rate_crude,15.941,Indonesia
2022,SP.DYN.CBRT.IN,birth_rate_crude,16.204,Indonesia
2021,SP.DYN.CBRT.IN,birth_rate_crude,16.417,Indonesia
2020,SP.DYN.CBRT.IN,birth_rate_crude,16.674,Indonesia
2019,SP.DYN.CBRT.IN,birth_rate_crude,16.909,Indonesia
2018,SP.DYN.CBRT.IN,birth_rate_crude,17.146,Indonesia
2017,SP.DYN.CBRT.IN,birth_rate_crude,17.54,Indonesia
2016,SP.DYN.CBRT.IN,birth_rate_crude,18.138,Indonesia
2015,SP.DYN.CBRT.IN,birth_rate_crude,18.569,Indonesia
2014,SP.DYN.CBRT.IN,birth_rate_crude,19.091,Indonesia
2013,SP.DYN.CBRT.IN,birth_rate_crude,19.643,Indonesia
2024,SP.DYN.CBRT.IN,birth_rate_crude,20.933,Lao PDR
2023,SP.DYN.CBRT.IN,birth_rate_crude,21.271,Lao PDR
2022,SP.DYN.CBRT.IN,birth_rate_crude,21.693,Lao PDR
2021,SP.DYN.CBRT.IN,birth_rate_crude,22.147,Lao PDR
2020,SP.DYN.CBRT.IN,birth_rate_crude,22.618,Lao PDR
2019,SP.DYN.CBRT.IN,birth_rate_crude,23.151,Lao PDR
2018,SP.DYN.CBRT.IN,birth_rate_crude,23.599,Lao PDR
2017,SP.DYN.CBRT.IN,birth_rate_crude,24.117,Lao PDR
2016,SP.DYN.CBRT.IN,birth_rate_crude,24.567,Lao PDR
2015,SP.DYN.CBRT.IN,birth_rate_crude,24.962,Lao PDR
2014,SP.DYN.CBRT.IN,birth_rate_crude,25.049,Lao PDR
2013,SP.DYN.CBRT.IN,birth_rate_crude,25.623,Lao PDR
2024,SP.DYN.CBRT.IN,birth_rate_crude,12.362,Malaysia
2023,SP.DYN.CBRT.IN,birth_rate_crude,12.412,Malaysia
2022,SP.DYN.CBRT.IN,birth_rate_crude,12.394,Malaysia
2021,SP.DYN.CBRT.IN,birth_rate_crude,12.385,Malaysia
2020,SP.DYN.CBRT.IN,birth_rate_crude,13.393,Malaysia
2019,SP.DYN.CBRT.IN,birth_rate_crude,14.233,Malaysia
2018,SP.DYN.CBRT.IN,birth_rate_crude,14.808,Malaysia
2017,SP.DYN.CBRT.IN,birth_rate_crude,15.329,Malaysia
2016,SP.DYN.CBRT.IN,birth_rate_crude,15.789,Malaysia
2015,SP.DYN.CBRT.IN,birth_rate_crude,16.336,Malaysia
2014,SP.DYN.CBRT.IN,birth_rate_crude,16.724,Malaysia
2013,SP.DYN.CBRT.IN,birth_rate_crude,16.761,Malaysia
2024,SP.DYN.CBRT.IN,birth_rate_crude,15.894,Philippines
2023,SP.DYN.CBRT.IN,birth_rate_crude,16.019,Philippines
2022,SP.DYN.CBRT.IN,birth_rate_crude,16.057,Philippines
2021,SP.DYN.CBRT.IN,birth_rate_crude,16.108,Philippines
2020,SP.DYN.CBRT.IN,birth_rate_crude,17.017,Philippines
2019,SP.DYN.CBRT.IN,birth_rate_crude,18.104,Philippines
2018,SP.DYN.CBRT.IN,birth_rate_crude,19.418,Philippines
2017,SP.DYN.CBRT.IN,birth_rate_crude,20.571,Philippines
2016,SP.DYN.CBRT.IN,birth_rate_crude,21.76,Philippines
2015,SP.DYN.CBRT.IN,birth_rate_crude,22.933,Philippines
2014,SP.DYN.CBRT.IN,birth_rate_crude,23.404,Philippines
2013,SP.DYN.CBRT.IN,birth_rate_crude,24.56,Philippines
2024,SP.DYN.CBRT.IN,birth_rate_crude,10.1,Sri Lanka
2023,SP.DYN.CBRT.IN,birth_rate_crude,11.2,Sri Lanka
2022,SP.DYN.CBRT.IN,birth_rate_crude,12.4,Sri Lanka
2021,SP.DYN.CBRT.IN,birth_rate_crude,12.9,Sri Lanka
2020,SP.DYN.CBRT.IN,birth_rate_crude,13.8,Sri Lanka
2019,SP.DYN.CBRT.IN,birth_rate_crude,14.6,Sri Lanka
2018,SP.DYN.CBRT.IN,birth_rate_crude,15.15,Sri Lanka
2017,SP.DYN.CBRT.IN,birth_rate_crude,15.371,Sri Lanka
2016,SP.DYN.CBRT.IN,birth_rate_crude,15.651,Sri Lanka
2015,SP.DYN.CBRT.IN,birth_rate_crude,16.022,Sri Lanka
2014,SP.DYN.CBRT.IN,birth_rate_crude,16.522,Sri Lanka
2013,SP.DYN.CBRT.IN,birth_rate_crude,17.028,Sri Lanka
2024,SP.DYN.CBRT.IN,birth_rate_crude,8.116,Thailand
2023,SP.DYN.CBRT.IN,birth_rate_crude,8.245,Thailand
2022,SP.DYN.CBRT.IN,birth_rate_crude,8.38,Thailand
2021,SP.DYN.CBRT.IN,birth_rate_crude,8.544,Thailand
2020,SP.DYN.CBRT.IN,birth_rate_crude,8.792,Thailand
2019,SP.DYN.CBRT.IN,birth_rate_crude,9.056,Thailand
2018,SP.DYN.CBRT.IN,birth_rate_crude,9.4,Thailand
2017,SP.DYN.CBRT.IN,birth_rate_crude,9.765,Thailand
2016,SP.DYN.CBRT.IN,birth_rate_crude,10.111,Thailand
2015,SP.DYN.CBRT.IN,birth_rate_crude,10.594,Thailand
2014,SP.DYN.CBRT.IN,birth_rate_crude,10.95,Thailand
2013,SP.DYN.CBRT.IN,birth_rate_crude,11.367,Thailand
2024,SP.DYN.CBRT.IN,birth_rate_crude,13.423,Viet Nam
2023,SP.DYN.CBRT.IN,birth_rate_crude,13.831,Viet Nam
2022,SP.DYN.CBRT.IN,birth_rate_crude,14.272,Viet Nam
2021,SP.DYN.CBRT.IN,birth_rate_crude,14.735,Viet Nam
2020,SP.DYN.CBRT.IN,birth_rate_crude,15.234,Viet Nam
2019,SP.DYN.CBRT.IN,birth_rate_crude,15.513,Viet Nam
2018,SP.DYN.CBRT.IN,birth_rate_crude,15.438,Viet Nam
2017,SP.DYN.CBRT.IN,birth_rate_crude,16.764,Viet Nam
2016,SP.DYN.CBRT.IN,birth_rate_crude,17.313,Viet Nam
2015,SP.DYN.CBRT.IN,birth_rate_crude,18.498,Viet Nam
2014,SP.DYN.CBRT.IN,birth_rate_crude,18.671,Viet Nam
2013,SP.DYN.CBRT.IN,birth_rate_crude,17.888,Viet Nam
2024,SP.POP.GROW,population_growth_annual_pct,1.225939863,Cambodia
2023,SP.POP.GROW,population_growth_annual_pct,1.283206776,Cambodia
2022,SP.POP.GROW,population_growth_annual_pct,1.330888131,Cambodia
2021,SP.POP.GROW,population_growth_annual_pct,1.476778362,Cambodia
2020,SP.POP.GROW,population_growth_annual_pct,1.470629886,Cambodia
2019,SP.POP.GROW,population_growth_annual_pct,1.26258301,Cambodia
2018,SP.POP.GROW,population_growth_annual_pct,1.243682774,Cambodia
2017,SP.POP.GROW,population_growth_annual_pct,1.381765961,Cambodia
2016,SP.POP.GROW,population_growth_annual_pct,1.458607676,Cambodia
2015,SP.POP.GROW,population_growth_annual_pct,1.46023763,Cambodia
2014,SP.POP.GROW,population_growth_annual_pct,1.482437252,Cambodia
2013,SP.POP.GROW,population_growth_annual_pct,1.49510213,Cambodia
2024,SP.POP.GROW,population_growth_annual_pct,0.813871513,Indonesia
2023,SP.POP.GROW,population_growth_annual_pct,0.842666137,Indonesia
2022,SP.POP.GROW,population_growth_annual_pct,0.74605047,Indonesia
2021,SP.POP.GROW,population_growth_annual_pct,0.704601322,Indonesia
2020,SP.POP.GROW,population_growth_annual_pct,0.849801187,Indonesia
2019,SP.POP.GROW,population_growth_annual_pct,0.935604959,Indonesia
2018,SP.POP.GROW,population_growth_annual_pct,0.96974341,Indonesia
2017,SP.POP.GROW,population_growth_annual_pct,1.022329398,Indonesia
2016,SP.POP.GROW,population_growth_annual_pct,1.0744882,Indonesia
2015,SP.POP.GROW,population_growth_annual_pct,1.122339818,Indonesia
2014,SP.POP.GROW,population_growth_annual_pct,1.175360912,Indonesia
2013,SP.POP.GROW,population_growth_annual_pct,1.240380016,Indonesia
2024,SP.POP.GROW,population_growth_annual_pct,1.35832703,Lao PDR
2023,SP.POP.GROW,population_growth_annual_pct,1.392376672,Lao PDR
2022,SP.POP.GROW,population_growth_annual_pct,1.409716701,Lao PDR
2021,SP.POP.GROW,population_growth_annual_pct,1.441416409,Lao PDR
2020,SP.POP.GROW,population_growth_annual_pct,1.493386752,Lao PDR
2019,SP.POP.GROW,population_growth_annual_pct,1.525763046,Lao PDR
2018,SP.POP.GROW,population_growth_annual_pct,1.55377802,Lao PDR
2017,SP.POP.GROW,population_growth_annual_pct,1.570297226,Lao PDR
2016,SP.POP.GROW,population_growth_annual_pct,1.563175613,Lao PDR
2015,SP.POP.GROW,population_growth_annual_pct,1.458364749,Lao PDR
2014,SP.POP.GROW,population_growth_annual_pct,1.378768427,Lao PDR
2013,SP.POP.GROW,population_growth_annual_pct,1.407554774,Lao PDR
2024,SP.POP.GROW,population_growth_annual_pct,1.22058891,Malaysia
2023,SP.POP.GROW,population_growth_annual_pct,1.234028692,Malaysia
2022,SP.POP.GROW,population_growth_annual_pct,1.197772001,Malaysia
2021,SP.POP.GROW,population_growth_annual_pct,1.152513044,Malaysia
2020,SP.POP.GROW,population_growth_annual_pct,1.333633231,Malaysia
2019,SP.POP.GROW,population_growth_annual_pct,1.596466533,Malaysia
2018,SP.POP.GROW,population_growth_annual_pct,1.701747319,Malaysia
2017,SP.POP.GROW,population_growth_annual_pct,1.76466064,Malaysia
2016,SP.POP.GROW,population_growth_annual_pct,1.767310548,Malaysia
2015,SP.POP.GROW,population_growth_annual_pct,1.733194456,Malaysia
2014,SP.POP.GROW,population_growth_annual_pct,1.714740728,Malaysia
2013,SP.POP.GROW,population_growth_annual_pct,1.70946282,Malaysia
2024,SP.POP.GROW,population_growth_annual_pct,0.825602489,Philippines
2023,SP.POP.GROW,population_growth_annual_pct,0.810000999,Philippines
2022,SP.POP.GROW,population_growth_annual_pct,0.760479216,Philippines
2021,SP.POP.GROW,population_growth_annual_pct,0.905660311,Philippines
2020,SP.POP.GROW,population_growth_annual_pct,1.145514086,Philippines
2019,SP.POP.GROW,population_growth_annual_pct,1.216155346,Philippines
2018,SP.POP.GROW,population_growth_annual_pct,1.236860333,Philippines
2017,SP.POP.GROW,population_growth_annual_pct,1.288301867,Philippines
2016,SP.POP.GROW,population_growth_annual_pct,1.341907095,Philippines
2015,SP.POP.GROW,population_growth_annual_pct,1.478753843,Philippines
2014,SP.POP.GROW,population_growth_annual_pct,1.642832838,Philippines
2013,SP.POP.GROW,population_growth_annual_pct,1.879715797,Philippines
2024,SP.POP.GROW,population_growth_annual_pct,-0.550589519,Sri Lanka
2023,SP.POP.GROW,population_growth_annual_pct,-0.65132077,Sri Lanka
2022,SP.POP.GROW,population_growth_annual_pct,0.11277264,Sri Lanka
